run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5947, 60, 3047, 7, 2466, 4125.87, 2527, 4132.71
5947, 75, 3773, 8, 2436, 3833.44, 2438, 3851.14
5947, 75, 3779, 5, 32, 4475.24, 83, 4730.33
5947, 82, 4128, 10, 1858, 3369.45, 1865, 3396.13
5947, 87, 4359, 4, 1953, 2648.64, 1971, 2695.96
5947, 90, 4524, 0, 1393, 5067.14, 1514, 5281.02
5947, 95, 4752, 2, 85, 3508.73, 115, 3573.76
5947, 100, 5020, 8, 778, 4739.13, 792, 4772.94
5947, 103, 5179, 5, 1623, 3789.71, 1630, 3944.04
5947, 107, 5381, 3, 2602, 1994.76, 2652, 2129
5947, 126, 6337, 6, 921, 2245.5, 950, 2578.11
5947, 128, 6436, 2, 2132, 3349.33, 2136, 3423.82
5947, 134, 6710, 6, 3057, 2644.46, 3066, 2650.49
5947, 137, 6897, 4, 668, 3181.77, 677, 3203.16
5947, 156, 7810, 0, 1132, 2230.36, 1134, 2275.28
5947, 157, 7867, 8, 399, 4040.98, 433, 4320.7
5947, 162, 8122, 5, 2065, 3379.09, 2084, 3499.32
5947, 163, 8196, 3, 1405, 5245.86, 1416, 5269.91
5947, 164, 8201, 5, 2145, 3579.3, 2146, 3678.38
5947, 171, 8583, 7, 413, 4491.07, 432, 4535.59
5947, 174, 8747, 5, 2712, 2342.35, 2725, 2461
5947, 183, 9169, 4, 3216, 2788.76, 3221, 2789
5948, 1, 69, 5, 1363, 3224.13, 1406, 3262.88
5948, 1, 69, 6, 1440, 3326.18, 1459, 3391.05
5948, 11, 562, 10, 3036, 2024.36, 3042, 2072.12
5948, 33, 1666, 14, 1355, 5302.17, 1376, 5319.64
5949, 20, 1042, 4, 1565, 4608.78, 1566, 4618.39
5949, 28, 1445, 5, 1785, 4041.22, 1798, 4067.15
5949, 29, 1479, 5, 2819, 4078.68, 2826, 4113.13
5949, 32, 1604, 2, 1918, 2441.09, 1932, 2486.31
5953, 3, 194, 4, 2613, 3292.97, 2646, 3481.08
5953, 3, 194, 5, 2569, 3308.06, 2581, 3309.28
5953, 12, 611, 5, 499, 1981.15, 508, 2005.84
5953, 17, 859, 6, 2602, 2615.32, 2639, 2748.92
5956, 0, 3, 3, 1783, 1670.3, 1784, 1676.83
5956, 1, 57, 4, 1152, 1372.55, 1175, 1681.96
5956, 4, 249, 5, 2571, 5221.41, 2582, 5221.95
5956, 19, 953, 6, 1586, 3982.5, 1594, 4099.11
5956, 22, 1113, 8, 2930, 2502.82, 2951, 2531.45
5957, 8, 416, 4, 128, 3372.34, 347, 3395.6
5957, 11, 565, 6, 1316, 2141.81, 1328, 2158.89
5957, 13, 654, 9, 1622, 2480.83, 1629, 2596.99
5957, 18, 938, 5, 2956, 3330.67, 2969, 3371.43
5957, 22, 1105, 9, 358, 1668.06, 361, 1668.86
5957, 23, 1168, 6, 2898, 2687.74, 2918, 2701.44
5959, 34, 1715, 4, 321, 2973.82, 384, 2997.44
5959, 36, 1849, 8, 2279, 2133.36, 2287, 2168.39
5959, 40, 2018, 3, 280, 3304.6, 296, 3386.33
5959, 42, 2102, 5, 3061, 4744.23, 3102, 4816.82
5960, 8, 412, 6, 1760, 4477.22, 1769, 4490.29
5960, 42, 2130, 7, 1610, 1686.56, 1641, 1747.6
5960, 47, 2383, 7, 1949, 3360.59, 1962, 3441.23
5960, 53, 2661, 11, 2526, 3330.37, 2530, 3330.38
5960, 53, 2675, 8, 1823, 3028.28, 1823, 3163.76
5960, 66, 3326, 7, 206, 3089.96, 231, 3115.12
5961, 1, 55, 2, 2002, 3092.17, 2012, 3111.64
5961, 5, 293, 5, 2735, 2953.71, 2736, 2953.88
5961, 6, 333, 5, 250, 2242.42, 336, 2252.69
5961, 13, 686, 7, 1265, 5071.93, 1274, 5093.24
5961, 19, 975, 4, 232, 3879.69, 238, 3934.01
5961, 26, 1308, 11, 2028, 2760.95, 2031, 2847.46
5961, 31, 1600, 0, 2805, 3983.33, 2814, 4104.55
5961, 48, 2432, 5, 2052, 4294.81, 2073, 4434.97
5961, 57, 2887, 6, 445, 985.028, 452, 989.079
5961, 60, 3013, 6, 1462, 1892.96, 1462, 1899.21
5961, 68, 3436, 2, 3383, 3130.73, 3396, 3246.96
5961, 81, 4079, 5, 1008, 2259.28, 1019, 2264.47
5961, 88, 4426, 2, 1855, 4169.23, 1875, 4235.39
5961, 109, 5462, 2, 921, 4811.7, 965, 4955.08
5963, 11, 594, 5, 1920, 3406.72, 1930, 3459.77
5965, 7, 393, 0, 2547, 4777.49, 2549, 4784.16
5965, 8, 406, 5, 1822, 1352.04, 1857, 1444.97
5965, 10, 514, 5, 125, 2021.27, 130, 2030.16
5965, 15, 766, 7, 1238, 5213.09, 1240, 5215.66
5965, 15, 798, 1, 845, 3040.53, 853, 3078.13
5965, 17, 884, 6, 3269, 4292.9, 3270, 4361.58
5965, 18, 942, 6, 2570, 4156.54, 2618, 4187.38
5965, 19, 996, 3, 126, 3548.88, 256, 4362.94
5965, 39, 1998, 6, 268, 1286.09, 303, 1286.18
5965, 47, 2394, 10, 486, 3326.44, 492, 3333.55
5965, 48, 2443, 6, 2666, 1479.58, 2691, 1529.55
5965, 49, 2465, 3, 2683, 4303.38, 2689, 4313.1
5966, 25, 1296, 6, 1038, 3687.6, 1048, 3746.18
5966, 26, 1326, 2, 1305, 2435.98, 1305, 2466.24
5966, 29, 1472, 2, 26, 1765.73, 146, 2076.04
5966, 41, 2051, 8, 1313, 2745.1, 1320, 2797.06
5966, 49, 2469, 1, 144, 4141.15, 270, 4725.84
5966, 55, 2754, 5, 1648, 5213.64, 1648, 5274.39
5966, 57, 2867, 4, 105, 3238.18, 113, 3242.23
5966, 62, 3124, 11, 3019, 1843.45, 3031, 1944.01
5966, 65, 3274, 3, 2558, 2739.11, 2565, 2785.59
5966, 68, 3402, 4, 1031, 4292.42, 1031, 4295.79
5966, 68, 3422, 7, 1811, 2098.75, 1820, 2146.56
5966, 81, 4061, 8, 754, 3576.36, 774, 3595.09
5966, 103, 5180, 6, 1273, 3479.25, 1293, 3479.64
5966, 104, 5239, 1, 1476, 4878.07, 1487, 4935.92
5966, 117, 5851, 5, 1658, 1121.14, 1673, 1140.13
5966, 127, 6352, 6, 98, 3660.11, 105, 3677.12
5966, 136, 6842, 3, 515, 3610.04, 565, 3671.38
5966, 139, 6976, 5, 188, 2188.53, 231, 2308.78
5966, 145, 7257, 6, 2646, 2390.05, 2667, 2462.43
5966, 145, 7257, 8, 2644, 2438.39, 2652, 2462.24
5966, 164, 8213, 4, 3350, 5064.56, 3366, 5094.81
5966, 167, 8354, 9, 2732, 2245.23, 2734, 2362.1
5966, 175, 8774, 5, 1958, 3219.45, 1962, 3220.86
5966, 184, 9203, 3, 2821, 2918.9, 2848, 2947.05
5966, 186, 9305, 2, 23, 1930.52, 38, 1977.6
5966, 193, 9661, 4, 1599, 1736.14, 1620, 1852.42
5966, 194, 9724, 3, 457, 2224.97, 475, 2305.32
5966, 199, 9998, 5, 1314, 2743.24, 1349, 2973.56
5966, 209, 10487, 5, 2055, 3742.91, 2072, 3807.27
5968, 5, 296, 2, 673, 1568.15, 749, 1771.66
5968, 7, 388, 5, 2134, 3295.88, 2139, 3386.26
5968, 10, 521, 3, 1450, 3921.33, 1465, 4006.41
5968, 20, 1015, 6, 662, 4421.99, 680, 4424.67
5968, 23, 1164, 2, 593, 1928.94, 595, 1955.45
5969, 7, 362, 6, 386, 3888.27, 400, 3911.07
5969, 11, 587, 0, 2598, 5301.93, 2633, 5362.14
5969, 12, 625, 8, 2503, 4122.61, 2524, 4186.57
5969, 14, 712, 3, 1569, 4228.66, 1576, 4455.88
5969, 14, 712, 4, 1742, 3630.62, 1798, 3707.86
5969, 15, 788, 5, 850, 1839.5, 872, 1914.67
5969, 19, 975, 3, 631, 3221.63, 641, 3320.55
5969, 20, 1008, 6, 2156, 3118.21, 2162, 3129.55
5969, 21, 1085, 5, 3068, 3612.27, 3090, 3803.27
5969, 24, 1228, 10, 1606, 4991.58, 1625, 5025.11
5969, 29, 1484, 6, 1901, 1038.55, 1922, 1160.41
5969, 30, 1526, 8, 1345, 4388.84, 1350, 4407.76
5969, 44, 2250, 2, 1824, 4391.73, 1870, 4577.55
5971, 7, 354, 5, 2821, 3684.73, 2837, 3744.24
5971, 7, 371, 20, 1664, 1853.86, 1668, 1860.88
5971, 17, 885, 4, 1742, 4984.1, 1817, 5048.44
5971, 67, 3400, 3, 2293, 4588.13, 2298, 4628.41
5971, 68, 3424, 2, 3382, 3650.07, 3406, 3753.68
5971, 78, 3950, 1, 2540, 3204.69, 2545, 3256.72
5971, 107, 5367, 4, 1910, 3240.62, 1922, 3313.25
5971, 117, 5887, 7, 2872, 2471.67, 2873, 2478.65
5971, 118, 5938, 7, 2719, 3782.53, 2721, 3855.32
5975, 8, 441, 4, 3282, 3996.63, 3295, 4038.94
5975, 26, 1304, 8, 2949, 1941.61, 2953, 2078.74
5975, 47, 2363, 1, 1131, 3265.6, 1152, 3505.58
5975, 51, 2600, 7, 717, 2581.46, 733, 2609.05
5975, 83, 4152, 1, 1728, 1399.76, 1761, 1466.16
5975, 87, 4364, 6, 1791, 2186.71, 1793, 2187.03
5977, 0, 33, 5, 1958, 3310.43, 2097, 3719.5
5977, 9, 467, 6, 711, 2031.06, 713, 2094.05
5977, 14, 733, 4, 1370, 2940.94, 1374, 2986.42
5977, 18, 944, 2, 1246, 1343.73, 1261, 1383.11
5977, 29, 1460, 6, 1401, 1995.26, 1413, 2003.98
5977, 39, 1965, 8, 60, 1737.73, 93, 1799.88
5977, 45, 2256, 2, 1067, 3610.75, 1167, 3928.51
5977, 46, 2311, 2, 3154, 2700.6, 3171, 2726.82
5977, 65, 3288, 4, 2327, 4003.05, 2333, 4009.15
5977, 76, 3806, 5, 264, 4949.51, 279, 4965.94
5977, 81, 4051, 3, 2088, 1639.57, 2102, 1671.12
5977, 86, 4309, 5, 1856, 1322.74, 1869, 1394.64
5977, 98, 4918, 6, 1010, 1006.08, 1016, 1075.48
5977, 105, 5272, 6, 3059, 1187.63, 3101, 1299.1
5977, 110, 5534, 2, 2896, 1104.24, 2939, 1203.79
5977, 110, 5543, 7, 1936, 4031.23, 1940, 4057.59
5977, 115, 5779, 2, 1124, 2978.51, 1138, 3137.35
5977, 135, 6793, 4, 2056, 4236.78, 2065, 4303.29
5977, 139, 6986, 4, 1869, 4794.12, 1872, 4827.09
5977, 143, 7183, 9, 2502, 2849.26, 2515, 2901.4
5977, 149, 7468, 9, 1959, 3874.14, 1971, 3906.11
5977, 156, 7833, 6, 2325, 2124.01, 2326, 2206.7
5977, 175, 8800, 5, 108, 4495.51, 122, 4521.58
5977, 205, 10253, 5, 3330, 1709.43, 3335, 1733.72
5977, 214, 10744, 2, 2102, 1266.75, 2109, 1283.87
5979, 14, 706, 6, 2232, 2792.6, 2251, 2866.7
5979, 28, 1406, 6, 1993, 4465.08, 1999, 4499.38
5979, 102, 5105, 4, 162, 3771.82, 178, 3813.18
5979, 116, 5835, 4, 2898, 3428.99, 2918, 3476.14
5979, 120, 6022, 6, 430, 2591.26, 465, 2591.56
5979, 123, 6190, 7, 1453, 3614.31, 1460, 3615.66
5979, 156, 7811, 10, 1930, 3787.49, 1945, 3882.97
5982, 4, 216, 4, 3087, 1172.57, 3110, 1305.99
5982, 12, 629, 0, 3244, 3578.73, 3282, 3791.46
5982, 16, 831, 3, 1111, 3959.62, 1114, 3963.51
5982, 24, 1205, 4, 1594, 2497.62, 1614, 2531.54
5982, 39, 1964, 6, 1743, 970.929, 1746, 978.15
5983, 0, 42, 5, 1847, 2320.79, 1848, 2365.89
5983, 0, 50, 8, 2692, 2558.85, 2698, 2570.69
5983, 21, 1081, 0, 2493, 3166.97, 2506, 3179.98
5983, 28, 1403, 3, 256, 4303.62, 266, 4325.75
5983, 42, 2107, 2, 1362, 3080.52, 1368, 3080.58
5983, 44, 2242, 2, 2115, 4140.24, 2135, 4286.18
5983, 53, 2668, 6, 278, 4988.29, 280, 4988.49
5983, 55, 2790, 5, 1655, 2234.47, 1669, 2357.38
5983, 56, 2836, 6, 2115, 5032.65, 2124, 5041.38
5983, 72, 3608, 8, 3384, 3955.03, 3390, 3959.41
5983, 82, 4119, 6, 1866, 5056.78, 1904, 5258.62
5983, 84, 4212, 5, 391, 886.067, 399, 921.596
5983, 93, 4668, 4, 1316, 4296.63, 1363, 4369.12
5983, 96, 4836, 5, 1281, 3592.9, 1293, 3635.84
5985, 1, 93, 2, 2121, 4886.26, 2127, 4922.44
5985, 6, 305, 3, 1699, 4401.94, 1712, 4428.28
5985, 8, 433, 8, 2197, 4043.05, 2209, 4099.7
5985, 18, 916, 5, 451, 2663.01, 454, 2701.73
5985, 20, 1005, 6, 2053, 1586.72, 2084, 1643.18
5985, 32, 1618, 8, 640, 4808.98, 644, 4833.12
5985, 50, 2526, 8, 2516, 4011.12, 2518, 4011.66
5985, 50, 2538, 7, 1305, 2365.21, 1317, 2393.93
5985, 58, 2915, 4, 453, 3042.49, 454, 3042.69
5985, 76, 3831, 1, 2806, 1497.86, 2840, 1557.93
5985, 80, 4048, 6, 1126, 2726.71, 1130, 2727.62
5985, 81, 4079, 5, 2073, 5116.52, 2079, 5122.21
5985, 90, 4507, 3, 3256, 2182.83, 3302, 2389.44
5985, 99, 4981, 5, 3227, 1970.49, 3234, 2059.91
5985, 102, 5121, 5, 2106, 5158.08, 2108, 5179.15
5985, 115, 5756, 2, 296, 2692.31, 303, 2701.05
5985, 118, 5917, 4, 235, 4419.85, 243, 4420.61
5985, 124, 6222, 3, 293, 1577.49, 303, 1581.07
5985, 135, 6760, 3, 1168, 3377.27, 1174, 3413.84
5985, 142, 7136, 0, 224, 1437.33, 293, 1581.36
5985, 150, 7532, 5, 1015, 4457.28, 1026, 4481.08
5985, 161, 8097, 13, 1171, 2310.13, 1193, 2375.86
5985, 169, 8494, 8, 40, 4947.89, 64, 5001.36
5985, 180, 9036, 11, 1142, 3310.59, 1153, 3346.02
5985, 187, 9393, 9, 3139, 4188.55, 3145, 4242.12
5985, 193, 9699, 9, 2950, 4441.57, 2956, 4454.74
5986, 4, 203, 2, 71, 3708.99, 83, 3711.09
5987, 2, 111, 6, 2105, 3653.28, 2109, 3655.48
5987, 8, 415, 2, 2657, 3042.8, 2662, 3063.25
5987, 11, 560, 5, 3129, 4296.44, 3162, 4336.68
5988, 4, 209, 0, 1106, 3977.65, 1107, 4088.27
5988, 10, 545, 3, 284, 1396.88, 300, 1467.95
5988, 11, 575, 4, 2668, 4978.49, 2778, 4993.93
5988, 19, 977, 5, 3261, 4392.27, 3307, 4604.97
5988, 32, 1640, 3, 3285, 3756.83, 3298, 3807.79
5988, 33, 1696, 5, 127, 2174.66, 138, 2197.34
5990, 8, 450, 6, 624, 2121.68, 639, 2159.39
5990, 20, 1042, 3, 2958, 2943.06, 2969, 2958.11
5990, 20, 1043, 4, 1482, 1215.28, 1491, 1218.97
5990, 25, 1251, 7, 1939, 2422.21, 1965, 2549.27
5990, 37, 1853, 8, 1827, 2104.36, 1832, 2105.02
5994, 1, 58, 10, 2115, 3640.6, 2132, 3682.09
5994, 16, 843, 5, 145, 3966.7, 152, 4002.05
5994, 17, 881, 13, 2837, 3175.85, 2843, 3186.15
5994, 38, 1928, 5, 586, 5288.07, 593, 5341.94
5994, 40, 2045, 1, 687, 3578.19, 692, 3597.29
5994, 47, 2356, 5, 2038, 4634.74, 2088, 4890.06
5996, 6, 331, 3, 482, 2572.05, 487, 2572.21
5996, 16, 801, 7, 357, 4772.68, 367, 4797.1
5996, 18, 918, 4, 537, 1487.39, 584, 1614.26
5996, 23, 1197, 8, 843, 4969.1, 856, 5056.2
5996, 27, 1394, 2, 1784, 1114.34, 1809, 1408.82
5996, 36, 1818, 1, 2084, 2470.85, 2122, 2565.54
5996, 36, 1843, 2, 3283, 4198.42, 3311, 4229.95
5996, 42, 2140, 1, 1356, 4660.39, 1390, 4920.91
5996, 43, 2193, 4, 2670, 3388.31, 2682, 3406.57
5996, 59, 2961, 2, 1366, 5275.05, 1377, 5328.41
5996, 68, 3407, 9, 432, 2335.85, 434, 2343.75
5996, 71, 3564, 3, 832, 1740.77, 943, 1905.21
